année,code,excédent brut de fonctionnement,"immobilisations affectées, concédées, ...",taux voté de la taxe d'habitation,réductions de bases accordées sur délibérations de la taxe foncière sur les propriétés non bâties,produits des impôts locaux de la taxe foncière sur les propriétés bâties,taux voté de la taxe foncière sur les propriétés bâties,bases nettes imposées de la cotisation foncière des entreprises,besoin de financement de la section d'investissement,dépenses d'équipement,fonds de roulement,produits des impôts locaux de la cotisation foncière des entreprises,taux voté de la compensation-relais 2010,total des produits de fonctionnement = a,produits des impôts locaux de la taxe professionnelle,réductions de bases accordées sur délibérations de la taxe foncière sur les propriétés bâties,solde des opérations pour compte de tiers,charges à répartir,bases nettes imposées de la taxe foncière sur les propriétés non bâties,subventions d'investissements reçues,population,résultat comptable = a - b,produits des impôts locaux de la impositions forfaitaires sur les entreprises de réseau,réductions de bases accordées sur délibérations de la taxe sur les surfaces commerciales,taux voté de la cotisation foncière des entreprises,réductions de bases accordées sur délibérations de la taxe d'habitation,avances du trésor au 31/12/n,contingents,réductions de bases accordées sur délibérations de la taxe professionnelle,subventions versées,taux voté de la taxe professionnelle,réductions de bases accordées sur délibérations de la taxe additionnelle à la taxe foncière sur les propriétés non bâties,encours des dettes bancaires et assimilées,nom,réductions de bases accordées sur délibérations de la cotisation sur la valeur ajoutée des entreprises,produits des impôts locaux de la cotisation sur la valeur ajoutée des entreprises,type de zone administrative,"retour de biens affectés, concédés, ...",produits des impôts locaux de la taxe foncière sur les propriétés non bâties,charge de personnel (montant net),total des ressources d'investissement = c,impôts locaux,charges financières,achats et charges externes (montant net),fctva,total des charges de fonctionnement = b,remboursement en capital des emprunts,year.1,besoin de financement résiduel = d-c,réductions de bases accordées sur délibérations de la impositions forfaitaires sur les entreprises de réseau,taux voté de la taxe additionnelle à la taxe foncière sur les propriétés non bâties,résultat d'ensemble,bases nettes imposées de la taxe professionnelle,bases nettes imposées de la taxe foncière sur les propriétés bâties,autres impôts et taxes,bases nettes imposées de la taxe d'habitation,dotation globale de fonctionnement,produits des impôts locaux de la taxe d'habitation,emprunts souscrits,produits des impôts locaux de la compensation-relais 2010,total des emplois d'investissement budgétaires = d,capacité d'autofinancement = caf,taux voté de la taxe foncière sur les propriétés non bâties,url,caf nette du remboursement en capital des emprunts,annuité de la dette,bases nettes imposées de la taxe additionnelle à la taxe foncière sur les propriétés non bâties,produits des impôts locaux de la taxe sur les surfaces commerciales,produits des impôts locaux de la taxe additionnelle à la taxe foncière sur les propriétés non bâties,réductions de bases accordées sur délibérations de la cotisation foncière des entreprises
2000,25056,23270000.0,0.0,0.1883,,21606000.0,0.2036,,-297000.0,36491000.0,6058000.0,,,157379000.0,25554000.0,,0.0,0.0,,6553000.0,122308,15982000.0,,,,,0.0,1657000.0,,44301000.0,0.1505,,112240000.0,BESANCON,,,city,1075000.0,69000.0,59863000.0,71801000.0,70867000.0,4880000.0,21410000.0,3215000.0,141397000.0,31339000.0,2000,-297000.0,,,16279000.0,,,20174000.0,,29633000.0,22658000.0,31329000.0,,71504000.0,19211000.0,0.2228,http://alize2.finances.gouv.fr/communes/eneuro/detail.php?icom=056&dep=025&type=BPS&param=0&exercice=2000,-12128000.0,36028000.0,,,,
2001,25056,31309000.0,13982000.0,0.2073,,23859000.0,0.2247,,6604000.0,33909000.0,6451000.0,,,146012000.0,0.0,,0.0,0.0,,4928000.0,122308,23857000.0,,,,,0.0,1779000.0,,26714000.0,0.0,,106428000.0,BESANÇON,,,city,14020000.0,78000.0,60772000.0,82740000.0,49804000.0,4879000.0,20281000.0,2370000.0,122154000.0,38567000.0,2001,6604000.0,,,17254000.0,,,14394000.0,,30265000.0,25525000.0,32789000.0,,89344000.0,26288000.0,0.2453,http://alize2.finances.gouv.fr/communes/eneuro/detail.php?icom=056&dep=025&type=BPS&param=0&exercice=2001,-12279000.0,43332000.0,,,,
2002,25056,24941000.0,1002000.0,0.2104,,24927000.0,0.2281,,-7070000.0,29271000.0,8934000.0,,,151468000.0,0.0,,0.0,3068000.0,,5220000.0,122308,20811000.0,,,,,0.0,1659000.0,,25670000.0,0.0,,105751000.0,BESANCON,,,city,115000.0,81000.0,70032000.0,85115000.0,51670000.0,4079000.0,22193000.0,3432000.0,130657000.0,33106000.0,2002,-7070000.0,,,27881000.0,,,10010000.0,,31215000.0,26504000.0,32446000.0,,78045000.0,24745000.0,0.249,http://alize2.finances.gouv.fr/communes/eneuro/detail.php?icom=056&dep=025&type=BPS&param=0&exercice=2002,-8361000.0,37152000.0,,,,
2003,25056,23424000.0,197000.0,0.2148,,26055000.0,0.2329,,-3216000.0,28287000.0,12729000.0,,,154847000.0,0.0,,0.0,3350000.0,,5857000.0,122308,19078000.0,,,,,0.0,1671000.0,,26035000.0,0.0,,106266000.0,BESANCON,,,city,0.0,101000.0,72533000.0,75298000.0,54011000.0,3548000.0,23461000.0,3468000.0,135768000.0,33294000.0,2003,-3216000.0,,,22294000.0,,,10732000.0,,31388000.0,27628000.0,33820000.0,,72083000.0,23890000.0,0.2542,http://alize2.finances.gouv.fr/communes/eneuro/detail.php?icom=056&dep=025&type=BPS&param=0&exercice=2003,-9405000.0,36772000.0,,,,
2004,25056,25907000.0,28092000.0,0.2191,,27807000.0,0.2376,,2233000.0,62019000.0,13453000.0,,,160220000.0,0.0,,0.0,3199000.0,,4931000.0,122308,21533000.0,,,,,0.0,1667000.0,,24694000.0,0.0,,106235000.0,BESANCON,,,city,28092000.0,106000.0,75181000.0,134704000.0,57211000.0,3373000.0,24629000.0,4685000.0,138687000.0,15350000.0,2004,2233000.0,,,19300000.0,,,11213000.0,,33411000.0,29141000.0,15309000.0,,136938000.0,25746000.0,0.2593,http://alize2.finances.gouv.fr/communes/eneuro/detail.php?icom=056&dep=025&type=BPS&param=0&exercice=2004,10396000.0,18620000.0,,,,
2005,25056,22469000.0,24402000.0,0.2191,,27978000.0,0.2376,,693000.0,43629000.0,10538000.0,,,159591000.0,0.0,,0.0,3199000.0,,10435000.0,122308,17914000.0,,,,,0.0,1643000.0,,24401000.0,0.0,,108380000.0,BESANÇON,,,city,20150000.0,98000.0,76718000.0,126891000.0,58088000.0,3410000.0,25949000.0,4274000.0,141677000.0,16935000.0,2005,693000.0,,,17221000.0,,,12196000.0,,33920000.0,29869000.0,19038000.0,,127584000.0,22319000.0,0.2593,http://alize2.finances.gouv.fr/communes/eneuro/detail.php?icom=056&dep=025&type=BPS&param=0&exercice=2005,5384000.0,19978000.0,,,,
2006,25056,28219000.0,0.0,0.2206,,29200000.0,0.2393,,-3977000.0,32792000.0,15776000.0,,,156032000.0,0.0,,0.0,0.0,,9217000.0,122308,17130000.0,,,,,0.0,1629000.0,,19269000.0,0.0,,104060000.0,BESANÇON,,,city,0.0,90000.0,74063000.0,80323000.0,59855000.0,3134000.0,27123000.0,4550000.0,138902000.0,14486000.0,2006,-3977000.0,,,21107000.0,,,12732000.0,,35175000.0,30356000.0,10470000.0,,76346000.0,22639000.0,0.2611,http://alize2.finances.gouv.fr/communes/eneuro/detail.php?icom=056&dep=025&type=BPS&param=0&exercice=2006,8153000.0,17615000.0,,,,
2007,25056,27281000.0,0.0,0.2206,,30090000.0,0.2393,,6222000.0,42450000.0,9942000.0,,,165919000.0,0.0,,0.0,0.0,,8732000.0,122308,20240000.0,,,,,0.0,938000.0,,20162000.0,0.0,,103716000.0,BESANCON,,,city,0.0,95000.0,78553000.0,88689000.0,62069000.0,2976000.0,29394000.0,0.0,145679000.0,13783000.0,2007,6222000.0,,,14019000.0,,,12486000.0,,36467000.0,31501000.0,13439000.0,,94911000.0,25314000.0,0.2611,http://alize2.finances.gouv.fr/communes/eneuro/detail.php?icom=056&dep=025&type=BPS&param=0&exercice=2007,11531000.0,16750000.0,,,,
2008,25056,29318000.0,0.0,0.2206,,30982000.0,0.2393,,-1579000.0,35765000.0,13126000.0,,,164471000.0,0.0,,0.0,0.0,,5800000.0,122308,22061000.0,,,,,0.0,944000.0,,20649000.0,0.0,,100844000.0,BESANCON,,,city,0.0,92000.0,79667000.0,95768000.0,63820000.0,2978000.0,29866000.0,7626000.0,142410000.0,13506000.0,2008,-1579000.0,,,23640000.0,,,12401000.0,,37378000.0,32484000.0,10631000.0,,94189000.0,27612000.0,0.2611,http://alize2.finances.gouv.fr/communes/eneuro/detail.php?icom=056&dep=025&type=BPS&param=0&exercice=2008,14105000.0,16087000.0,,,,
2009,25056,26551000.0,0.0,0.2228,0.0,33227000.0,0.2465,,812000.0,46793000.0,10250000.0,,,167287000.0,0.0,0.0,0.0,0.0,378000.0,8304000.0,121012,19997000.0,,,,14759000.0,0.0,1017000.0,0.0,20811000.0,0.0,,100878000.0,BESANCON,,,city,0.0,100000.0,81388000.0,105536000.0,67359000.0,2257000.0,31415000.0,8012000.0,147289000.0,9986000.0,2009,812000.0,,,19185000.0,0.0,134797000.0,11265000.0,151618000.0,37061000.0,33780000.0,10021000.0,,106347000.0,25822000.0,0.2637,http://alize2.finances.gouv.fr/communes/eneuro/detail.php?icom=056&dep=025&type=BPS&param=0&exercice=2009,15836000.0,12224000.0,,92024000.0,,
2010,25056,26923000.0,0.0,0.2228,0.0,34623000.0,0.2514,,1283000.0,48115000.0,8596000.0,,0.0,170107000.0,,0.0,0.0,0.0,377000.0,10360000.0,121857,19626000.0,,,,14963000.0,,1102000.0,,21351000.0,,,104175000.0,BESANCON,,,city,0.0,99000.0,83478000.0,104989000.0,69421000.0,2006000.0,30849000.0,5278000.0,150481000.0,10605000.0,2010,1283000.0,,,18343000.0,,137722000.0,12107000.0,154259000.0,37252000.0,34368000.0,13904000.0,0.0,106272000.0,25601000.0,0.2637,http://alize2.finances.gouv.fr/communes/eneuro/detail.php?icom=056&dep=025&type=BPS&param=0&exercice=2010,14996000.0,12540000.0,,93915000.0,,
2011,25056,28857000.0,0.0,0.2228,0.0,36358000.0,0.2564,0.0,-2934000.0,49463000.0,11494000.0,0.0,,181659000.0,,0.0,0.0,0.0,423000.0,11423000.0,121671,19581000.0,0.0,0.0,0.0,15381000.0,,1951000.0,,25202000.0,,0.0,107536000.0,BESANCON,0.0,0.0,city,0.0,111000.0,84457000.0,107586000.0,71929000.0,2286000.0,32158000.0,3081000.0,162077000.0,11298000.0,2011,-2934000.0,0.0,0.0,22515000.0,,141798000.0,13332000.0,157954000.0,37139000.0,35193000.0,15070000.0,,104652000.0,26611000.0,0.2637,http://alize2.finances.gouv.fr/communes/eneuro/detail.php?icom=056&dep=025&type=BPS&param=0&exercice=2011,15313000.0,13543000.0,0.0,0.0,0.0,0.0
2012,25056,29229000.0,0.0,0.2228,0.0,37490000.0,0.2564,0.0,3310000.0,55952000.0,8579000.0,0.0,,182986000.0,,0.0,0.0,0.0,382000.0,9711000.0,121391,19938000.0,0.0,0.0,0.0,15860000.0,,2988000.0,,25926000.0,,0.0,113919000.0,BESANCON,0.0,0.0,city,0.0,101000.0,87535000.0,106481000.0,74385000.0,2971000.0,30088000.0,5396000.0,163048000.0,11488000.0,2012,3310000.0,0.0,0.0,16628000.0,,146215000.0,12642000.0,163854000.0,37027000.0,36507000.0,17455000.0,,109791000.0,26985000.0,0.2637,http://alize2.finances.gouv.fr/communes/eneuro/detail.php?icom=056&dep=025&type=BPS&param=0&exercice=2012,15497000.0,14459000.0,0.0,0.0,0.0,0.0
